ConstructionType,ConstructionName,CementQuality,CementPrice,BrickQuality,BrickPrice,SandQuality,SandPrice,IronQuality,IronPrice,EnvironmentalCondition,Seller,Price
Bridges, Bandra-Worli Sea Link, Medium,290, High,20, Medium,360, Low,34000, Hightemp, Ramco Cements Ltd,4210000
Bridges, Mahatma Gandhi Setu,Medium,220, Medium,30, High,500, Low,24000, Hightemp, ACC Limited,4220000
Bridges, Vidyasagar Setu, Low,360, High,20, Low,460, High,27000, tightsoil, Hindware (HSIL Limited),3130000
Bridges, Godavari Bridge, High,240, Medium,20, Medium,290, High,36000, tightsoil, UltraTech Cement Ltd,4080000
Bridges,Pamban Bridge, High,490, Low,50, High,280, High,37000, loosesoil, Cera Sanitaryware Ltd,2480000
Bridges, Krishna Raja Sagar Bridge, Medium,480, High,30, Medium,360, Low,27000, humidity, LafargeHolcim India,4220000
Bridges, Coronation Bridge,Low,330, Low,30, High,490, Medium,46000, heavyrain, SAIL (Steel Authority of India Ltd),3670000
Bridges, Dhola-Sadiya Bridge, High,320, High,20, Medium,270, High,42000, loosesoil, Jindal Steel & Power Ltd,4290000
Bridges, Bogibeel Bridge, Medium,460, High,30, High,360, Low,42000, loosesoil, Berger Paints India Ltd,3390000
Bridges, Farakka Barrage,Low,420, Medium,40, High,350, Low,28000, loosesoil, Ramco Cements Ltd,3950000
Bridges, Vashi Bridge, Low,240, Low,50, Low,230,High,43000, heavyrain, UltraTech Cement Ltd,2150000
Bridges, Vikramshila Setu, High,370,High,40, High,470, Medium,41000, heavyrain, Orient Cement Ltd,2900000
Bridges, Nivedita Bridge, Low,430, Low,20, Low,330, High,48000,humidity, Shree Cement Ltd,2440000
Bridges, Koilwar Bridge, High,330, Low,40,Low,390, Medium,24000, tightsoil,Ramco Cements Ltd,3800000
Bridges, Mahanadi Bridge,Low,490, High,40, High,200, High,46000, tightsoil, ACC Limited,2940000
Bridges, Korthi-Kolhar Bridge, Medium,370, High,20, High,410, Low,38000, loosesoil, JSW Cement Ltd,3890000
Bridges, Zuari Bridge, Low,370, Low,30, Low,270, Low,37000, Hightemp, Dalmia Cement (Bharat) Ltd,2810000
Bridges, Narmada Bridge, Low,340, Medium,40, Low,490, Medium,45000,heavyrain, ACC Limited,4550000
Bridges, Signature Bridge, Medium,290, Medium,40, High,330, High,45000, loosesoil, Shree Cement Ltd,2460000
Bridges, Munger Ganga Bridge,Low,470, Medium,50, Low,410, Low,41000, heavyrain, Ambuja Cements Ltd,4430000
Bridges, Kanaka Durga Varadhi, Medium,260, Medium,50, Low,330, Medium,29000, heavyrain, Supreme Industries (for pipes & fittings),3290000
Bridges, Yamuna Bridge,Medium,430, Medium,40, Low,250, Low,36000, loosesoil, Ramco Cements Ltd,2470000
Bridges, Godavari Fourth Bridge, Low,450, Low,30, Low,240, Medium,29000, humidity, Cera Sanitaryware Ltd,2360000
Bridges, Bhupen Hazarika Setu, Low,420, High,20, Low,440,High,36000, tightsoil, Orient Cement Ltd,3680000
Bridges, Chenab Rail Bridge, Low,390, Medium,50, Low,480, High,28000, heavyrain, Jindal Steel & Power Ltd,4110000
Bridges, Kachchi Dargah-Bidupur Bridge, Medium,400, Low,20, High,490,Medium,43000, tightsoil, Berger Paints India Ltd,3310000
Bridges, Athirappilly Bridge, Medium,200, High,50, High,300, High,50000, humidity, Berger Paints India Ltd,4040000
Bridges, Sharavathi Bridge, High,280,Low,30, Low,460, Low,48000, windy, Shree Cement Ltd,2410000
Bridges, New Jubilee Bridge, Low,290, Low,20, Low,220, High,24000, humidity, Orient Cement Ltd,3770000
Airports,Indira Gandhi International Airport, High,250, Medium,50, High,240, High,46000, windy, Jindal Steel & Power Ltd,3250000
Airports, Chhatrapati Shivaji Maharaj International Airport, High,440, High,50, Medium,220,Medium,30000, Hightemp, SAIL (Steel Authority of India Ltd),3120000
Airports, Kempegowda International Airport,Low,360, Medium,40, Low,460, Medium,27000, heavyrain, Asian Paints (for paints & coatings),3070000
Airports, Chennai International Airport, Medium,240, Medium,30,Medium,480, Medium,41000, tightsoil,Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),2680000
Airports, Netaji Subhas Chandra Bose International Airport, Low,330, Medium,50, Low,490, Low,22000, loosesoil, Shree Cement Ltd,4570000
Airports, Rajiv Gandhi International Airport, High,330, High,40, High,320, High,27000, Hightemp, SAIL (Steel Authority of India Ltd),3010000
Airports, Cochin International Airport, High,450, Medium,50, High,230, High,20000, Hightemp, Supreme Industries (for pipes & fittings),4360000
Airports, Pune International Airport, High,420, High,30, High,420, High,41000, Hightemp, Hindware (HSIL Limited),3010000
Airports, Goa International Airport, High,400, Low,20,Low,350, Low,24000, heavyrain,Dalmia Cement (Bharat) Ltd,4660000
Airports, Sardar Vallabhbhai Patel International Airport, Low,420, High,40, Medium,210, Medium,25000,windy, LafargeHolcim India,2430000
Airports, Trivandrum International Airport, High,350, High,40,Low,370, Medium,30000, loosesoil,Jindal Steel & Power Ltd,3020000
Airports, Jaipur International Airport, Medium,330, Low,20, Low,440, High,38000, humidity, Dalmia Cement (Bharat) Ltd,2400000
Airports, Chaudhary Charan Singh International Airport, Low,360, High,30, Medium,240, Low,24000, tightsoil, Nerolac Paints,2470000
Airports, Biju Patnaik International Airport, Low,440, Low,30, High,360, Medium,29000,loosesoil, Hindware (HSIL Limited),3590000
Airports, Lokpriya Gopinath Bordoloi International Airport, Medium,210, Medium,30, Low,480, Low,43000, loosesoil, Ambuja Cements Ltd,2300000
Airports,Madurai Airport, Low,300, Medium,40, Low,200, Low,28000, tightsoil, Nerolac Paints,4890000
Airports, Amritsar International Airport, Medium,270, Medium,50, Low,490, High,25000, heavyrain, Dalmia Cement (Bharat) Ltd,2000000
Airports, Visakhapatnam International Airport, Low,430, Low,20, Low,230, Medium,41000, windy, Orient Cement Ltd,3450000
Airports, Bagdogra International Airport,High,430, Low,50, High,290, Low,38000, loosesoil, Asian Paints (for paints & coatings),4210000
Airports, Coimbatore International Airport, Low,490, Medium,20,Low,280, High,45000, windy,Birla Cement,3980000
Airports, Bhubaneswar Airport, High,200, High,30, High,420, Medium,30000, windy, Hindware (HSIL Limited),3200000
Airports, Kannur International Airport, Medium,310, High,20, Medium,450,Medium,42000, windy, JSW Cement Ltd,4580000
Airports, Srinagar International Airport, Low,290, Medium,40, Low,230, High,49000, windy, Birla Cement,3430000
Airports, Vadodara Airport, Medium,340, High,20, Low,440, Medium,38000,humidity, Cera Sanitaryware Ltd,4200000
Airports, Mangalore International Airport, High,400, Low,50, High,380, Medium,44000, heavyrain, LafargeHolcim India,4530000
Airports, Raipur Airport,Low,440, High,50, Low,490, High,40000, windy, Supreme Industries (for pipes & fittings),4160000
Airports, Gaya International Airport, Low,350, High,50,Medium,460, High,20000, heavyrain,Dalmia Cement (Bharat) Ltd,2880000
Airports, Agartala Airport, High,360, Low,30, Medium,380, Medium,50000, tightsoil, Supreme Industries (for pipes & fittings),4520000
Airports, Dehradun Airport, High,470, Medium,20,Medium,230, High,20000, windy,Ramco Cements Ltd,4120000
Airports, Patna Airport,Low,410, High,20, Low,330, Low,24000, Hightemp, Ambuja Cements Ltd,3970000
Residential Building, The 42, Medium,460, High,40, High,390, Low,50000, tightsoil, Cera Sanitaryware Ltd,2390000
Residential Building, Omkar 1973, High,460, Medium,30, Low,350,Low,20000, windy, UltraTech Cement Ltd,2740000
Residential Building, Palais Royale, High,210, Low,50, Low,300, Medium,44000, loosesoil, Dalmia Cement (Bharat) Ltd,2010000
Residential Building, Antilia, High,480,High,30, Medium,490, Low,50000, loosesoil, Dalmia Cement (Bharat) Ltd,3200000
Residential Building, Lodha The Park, Medium,460, Low,40, Low,260, Medium,30000, heavyrain, Hindware (HSIL Limited),4280000
Residential Building, World One, High,480,High,40, High,230, Low,23000, tightsoil, Berger Paints India Ltd,4230000
Residential Building, The Crest, High,230,Low,30, Medium,250, Medium,23000, Hightemp, Ambuja Cements Ltd,3540000
Residential Building, The Address, High,480, Low,40, High,350, Low,50000, tightsoil, Birla Cement,4760000
Residential Building,Raheja Revanta, Low,480, Low,20, Medium,260, Low,32000, loosesoil, JSW Cement Ltd,2540000
Residential Building, Atmosphere Tower, Low,380, Medium,30,Low,410, Low,38000, tightsoil,Cera Sanitaryware Ltd,2700000
Residential Building, Lodha Altamount, Low,430, Low,20, Low,400, Medium,36000, heavyrain, Ramco Cements Ltd,3830000
Residential Building, Imperial Heights,High,270, Medium,30, Low,270, High,48000, windy, Cera Sanitaryware Ltd,3900000
Residential Building, Omkar Alta Monte,High,420, High,30, High,270, Low,39000, windy, ACC Limited,3850000
Residential Building, Sky Belvedere, Medium,210, High,30, Medium,200,Low,42000, tightsoil, Shree Cement Ltd,2750000
Residential Building, Marathon Futurex, Medium,420, Medium,50, Medium,340, High,39000, loosesoil, Dalmia Cement (Bharat) Ltd,2370000
Residential Building, Supernova Spira, Medium,310, High,30, High,400, High,27000, humidity, Hindware (HSIL Limited),2580000
Residential Building, Kalpataru Avana, Low,230,Low,30, High,290, High,30000, tightsoil, Supreme Industries (for pipes & fittings),2730000
Residential Building, Ekta Tripolis, High,220, Medium,50, Low,320,High,30000, loosesoil, SAIL (Steel Authority of India Ltd),2420000
Residential Building, L&T Crescent Bay, Medium,270, High,50, High,340, Medium,34000, windy, Birla Cement,2470000
Residential Building, Prestige Shantiniketan, High,380, Medium,30, Low,230, High,31000, tightsoil, Nerolac Paints,2620000
Residential Building, The Imperial, Medium,380, High,30, Medium,460, Medium,36000, windy, Orient Cement Ltd,4870000
Residential Building, Arihant Amodini, Low,220, Low,40, High,480,High,20000, Hightemp, Hindware (HSIL Limited),3320000
Residential Building, Oberoi Sky City, Low,390, High,50, High,280,High,28000, Hightemp, Birla Cement,4850000
Residential Building, Lodha Bellissimo, Low,240,Medium,40, Medium,430, Low,50000, heavyrain, Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),2760000
Residential Building, Piramal Mahalaxmi,High,300, High,30, Low,340, Low,29000, heavyrain, Ramco Cements Ltd,4550000
Residential Building, Wadhwa Solitaire, Medium,320, High,20, Low,360, Medium,29000, Hightemp, Berger Paints India Ltd,3930000
Residential Building, Crescent Bay Towers,Low,270, Medium,30, Medium,300, Low,31000, windy, Cera Sanitaryware Ltd,4280000
Residential Building, DLF The Camellias,High,350, Medium,30, Medium,420, Medium,31000, windy, Supreme Industries (for pipes & fittings),2800000
Residential Building, The Park Tower, Low,410, Low,50, High,420, Low,46000, Hightemp, Birla Cement,3910000
Residential Building, Tata Housing Myst, Low,350, Medium,30,High,280, Low,24000, heavyrain,Shree Cement Ltd,3710000
Commercial Building, Bombay Stock Exchange Tower, Medium,270, Medium,20, Low,360, Low,29000, humidity, Jindal Steel & Power Ltd,3860000
Commercial Building, World Trade Center Mumbai, Medium,340,Low,40, High,320, Low,30000, tightsoil, Dalmia Cement (Bharat) Ltd,3380000
Commercial Building, Infosys Pune Campus, Medium,200, Low,30, High,320, High,29000, humidity, ACC Limited,3710000
Commercial Building, Infosys Bangalore Campus, Medium,220,Low,50, Low,420, Low,38000, Hightemp, Shree Cement Ltd,4810000
Commercial Building, Cyber Hub Gurgaon, High,320,High,50, Low,350, High,44000, Hightemp, Nerolac Paints,3420000
Commercial Building, Manyata Tech Park, Medium,470, High,20, Low,500, Medium,44000, humidity, Birla Cement,3510000
Commercial Building,DLF Cyber City, High,490, High,40, Medium,360, Low,34000,windy, Supreme Industries (for pipes & fittings),3580000
Commercial Building, SEZ Noida, Low,250,High,20, High,470, Low,48000, heavyrain, SAIL (Steel Authority of India Ltd),4010000
Commercial Building, Express Towers, Medium,210, Medium,20, High,310,Medium,32000, windy, Asian Paints (for paints & coatings),4330000
Commercial Building, The Capital,Medium,260, High,30, Medium,480, High,44000, humidity, Nerolac Paints,2650000
Commercial Building, Maker Chambers, Medium,290, Low,50, Low,310,Medium,38000, windy, ACC Limited,2980000
Commercial Building, Godrej BKC, High,260,Medium,30, Medium,440, High,33000, windy, Nerolac Paints,3290000
Commercial Building, Oberoi Commerz, High,490, Medium,30, High,260, Low,25000,humidity, Hindware (HSIL Limited),3700000
Commercial Building,The Ruby, Low,380, Low,40, Low,430, Low,30000, Hightemp, Ramco Cements Ltd,2290000
Commercial Building, RMZ Infinity, High,460, Medium,30,High,270, Medium,49000, heavyrain,Ramco Cements Ltd,4860000
Commercial Building, Mindspace Hyderabad, High,360, Low,20, Low,400, Medium,44000, windy, Asian Paints (for paints & coatings),3810000
Commercial Building,Tidel Park Chennai, Medium,360, High,30, High,380, Medium,33000,heavyrain, Ramco Cements Ltd,2220000
Commercial Building,Prestige Tech Park, Medium,340, High,50, Medium,480, Low,41000,heavyrain, Supreme Industries (for pipes & fittings),2480000
Commercial Building, DLF IT Park, High,380, High,30, Medium,420, Medium,22000, Hightemp, Shree Cement Ltd,4710000
Commercial Building, Worldmark Aerocity, Medium,250,Low,20, High,210, Medium,26000, windy, Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),4860000
Commercial Building, EON Free Zone, Medium,500, High,50, High,370, Low,49000, humidity, Cera Sanitaryware Ltd,4900000
Commercial Building, Embassy Golf Links, Medium,490, Low,40, High,370, High,22000, windy, Orient Cement Ltd,2040000
Commercial Building, Waverock Hyderabad,Medium,460, High,40, High,320, Medium,25000, Hightemp, Ambuja Cements Ltd,3810000
Commercial Building, WeWork BKC, Medium,500, Low,50, High,230, Low,48000, tightsoil, Jindal Steel & Power Ltd,4720000
Commercial Building, Kohinoor Square,High,430, Medium,30, High,390, High,27000, loosesoil, Jindal Steel & Power Ltd,4480000
Commercial Building, ICICI Towers, High,480, High,40, High,330, Medium,31000, humidity, Asian Paints (for paints & coatings),3750000
Commercial Building,UB City Bangalore, Medium,260, Low,20, Medium,260, High,29000,tightsoil, UltraTech Cement Ltd,4000000
Commercial Building,I-flex Solutions Campus, High,290, Low,20, Medium,450, Medium,36000,tightsoil, Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),2060000
Commercial Building, ITC Green Centre, High,450, High,40, Medium,460, Low,30000, windy, Jindal Steel & Power Ltd,3970000
Commercial Building, Wave One,Medium,220, High,30, Medium,430, High,24000, windy, Tata Steel Limited,4340000
Resorts, Taj Lake Palace Resort,Low,280, Low,50, Medium,440, High,43000, tightsoil, ACC Limited,2910000
Resorts, The Oberoi Udaivilas Resort, Medium,450, Low,30, Medium,440, Low,44000, Hightemp, Jindal Steel & Power Ltd,4880000
Resorts, Kumarakom Lake Resort,Medium,220, High,30, High,370, Low,37000, windy, Birla Cement,3850000
Resorts, The Leela Resort, Low,300, High,30, Medium,240,High,26000, heavyrain, UltraTech Cement Ltd,3740000
Resorts, Ananda in the Himalayas Resort, High,350, Medium,40, Low,230, Low,34000, humidity, JSW Cement Ltd,2020000
Resorts, Wildflower Hall Resort, High,210, High,40, Low,410,Low,40000, loosesoil, Ambuja Cements Ltd,2300000
Resorts, Amanbagh Resort, High,210,Low,50, High,350, Low,40000, humidity, UltraTech Cement Ltd,4120000
Resorts, Orange County Resort, Low,220, High,40, High,490, Low,29000, humidity, Ramco Cements Ltd,3480000
Resorts,ITC Grand Resort & Spa, High,490,High,50, Medium,430, Medium,27000, tightsoil, ACC Limited,2870000
Resorts,Neemrana Fort Resort, Low,360, Medium,20, Medium,240, High,23000,heavyrain, Jindal Steel & Power Ltd,3890000
Resorts, The Tamara Resort, High,320, High,30, High,340, Medium,41000, Hightemp, Tata Steel Limited,2810000
Resorts,The Khyber Himalayan Resort, High,480, Low,50, Low,210, High,30000, Hightemp, UltraTech Cement Ltd,4990000
Resorts,Suryagarh Resort, High,470, Low,50, Medium,200, Low,27000, Hightemp, Shree Cement Ltd,2640000
Resorts, The Serai Resort, Low,450, Low,40,Medium,220, Low,26000, windy,Cera Sanitaryware Ltd,2280000
Resorts, Marari Beach Resort, Low,450, Medium,50, High,390, Medium,23000, humidity, ACC Limited,3590000
Resorts, Radisson Blu Resort, Low,410, High,20, High,420, High,41000, tightsoil, Dalmia Cement (Bharat) Ltd,2910000
Resorts, Alila Diwa Resort, Low,330, High,40, Low,440, Medium,34000, tightsoil, Dalmia Cement (Bharat) Ltd,4040000
Resorts, Evolve Back Resort, Medium,280, High,50, Low,330, High,47000, humidity, JSW Cement Ltd,3650000
Resorts, The Windflower Resort, Low,250, High,40, Medium,310,Low,21000, loosesoil, ACC Limited,3100000
Resorts, The Lalit Resort & Spa, Medium,220, Low,40, Low,470,Medium,41000, windy, LafargeHolcim India,3750000
Restaurants, Indian Accent, High,270, High,40, Low,320, Low,35000, Hightemp, Asian Paints (for paints & coatings),3940000
Restaurants, Bukhara, Low,440, Low,50, High,220, High,29000, heavyrain, Nerolac Paints,4850000
Restaurants, Dum Pukht, Medium,370, Medium,40,Medium,290, Medium,48000, tightsoil,JSW Cement Ltd,4170000
Restaurants, Gaggan, Medium,440, Medium,30, Medium,500, High,39000, tightsoil, Berger Paints India Ltd,3190000
Restaurants, The Table, Low,460, Medium,50, Low,380,Low,23000, tightsoil, Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),4160000
Restaurants, Masala Library, High,260, Low,40, High,230, High,25000, heavyrain, Nerolac Paints,3660000
Restaurants, Wasabi by Morimoto, High,350, Low,50, Medium,330, High,21000, Hightemp, Ramco Cements Ltd,4300000
Restaurants, Villa Maya, High,340, Low,30, High,470, High,22000, humidity, Tata Steel Limited,3820000
Restaurants, The Bombay Canteen, Low,490,Low,40, High,250, High,38000, heavyrain, Shree Cement Ltd,3520000
Restaurants, Olive Bar & Kitchen, High,390,Medium,20, Low,210, High,42000, loosesoil, Ambuja Cements Ltd,3800000
Restaurants, Trishna, Medium,270, Medium,50, Low,310, Medium,30000, windy, Nerolac Paints,2540000
Restaurants, Karavalli, Medium,470, High,20, Low,300, Medium,29000, heavyrain, Cera Sanitaryware Ltd,3740000
Restaurants, Peshawri, Medium,310,Low,30, Low,350, Medium,32000, tightsoil, Ambuja Cements Ltd,3840000
Restaurants, O Pedro, Low,470, High,20, Low,440, Medium,46000,Hightemp, Cera Sanitaryware Ltd,4080000
Restaurants, Megu, Low,470, Medium,20, Low,390, Medium,30000, tightsoil, ACC Limited,4480000
Restaurants, Ziya, High,270, Medium,30, Medium,260, Low,38000, heavyrain, Jindal Steel & Power Ltd,3090000
Restaurants, The Spice Route, Medium,420, Medium,20, Medium,460,Medium,37000, humidity, Shree Cement Ltd,3490000
Restaurants, Malaka Spice, Medium,460,High,40, High,240, High,39000, tightsoil, Ramco Cements Ltd,3120000
Restaurants, Savya Rasa, High,390, Low,50, Medium,370, High,20000,heavyrain, Jindal Steel & Power Ltd,4760000
Restaurants, Toast & Tonic, Medium,300, High,40, Medium,330, High,20000, windy, Nerolac Paints,2560000
Temples, Sri Venkateswara Swamy Temple, High,320, High,50, High,330, Low,47000,heavyrain, Dalmia Cement (Bharat) Ltd,4280000
Temples,Kanaka Durga Temple, Low,230, Low,30, Low,470, Medium,36000,tightsoil, JSW Cement Ltd,3550000
Temples, Meenakshi Amman Temple, Low,360, Low,20, High,270, Low,25000, humidity, Cera Sanitaryware Ltd,4740000
Temples, Ramalingeswara Temple, Medium,480, Medium,50, Medium,240, High,43000, humidity, Cera Sanitaryware Ltd,4450000
Temples, Bhavani Shankar Temple,Low,350, Low,20, Medium,450, Medium,23000, windy, ACC Limited,4290000
Temples, Kasi Viswanathar Temple, Low,280, Low,20, High,410,Low,50000, loosesoil, SAIL (Steel Authority of India Ltd),4350000
Temples, Sri Lakshmi Narasimha Swamy Temple, High,400, Low,50,Low,470, Medium,35000, humidity,Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),4980000
Temples, Chennakesava Temple, Medium,260, Medium,50, High,280, Medium,36000, Hightemp, LafargeHolcim India,2870000
Temples, Ranganathaswamy Temple, Low,350, Low,40,Medium,390, Medium,36000, heavyrain,Shree Cement Ltd,2830000
Temples, Annavaram Satyanarayana Swamy Temple, Low,450, High,50,Low,310, Medium,24000, loosesoil,Orient Cement Ltd,2630000
Temples, Sri Mallikarjuna Swamy Temple, Medium,270, Medium,40,High,450, High,21000, humidity,Orient Cement Ltd,4070000
Temples, Jagannath Temple,Low,300, High,50, High,300, Low,34000, loosesoil, Nerolac Paints,4480000
Temples, Bhimeswara Temple, Medium,200, Low,50, Medium,450, Medium,24000, tightsoil, Orient Cement Ltd,2440000
Temples, Veerabhadra Swamy Temple, High,360,High,40, High,200, Medium,25000, windy, Supreme Industries (for pipes & fittings),4810000
Temples, Raja Rajeshwari Temple, Medium,200, Medium,30, Medium,210,High,46000, windy, Berger Paints India Ltd,3000000
